sampleID	plotID	name	day	month	year	time	weather	air_temp_c	notes	plot_name	expt_code	site_type	rep	plant	treatment	time_zone	latitude	longitude	altitude	site_name	city	state	country	soil_name	number_cores	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	plant_name	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	date_phenology_assessed	phenology_emergence	phenology_leaves_full_size	phenology_herbivore_damage	phenology_open_flowers	phenology_ripe_seeds	phenology_leaf_wilting	phenology_canopy_closed	phenology_senescence	phenology_full_leaf_loss	nucleic_acid_name	date_of_extraction	nucleic_acid_type	replicate_extraction	source	source_mass	extraction_method	elution_vol_ul	concentration_ng_per_ul	ratio_260_280	conc_ng_per_g_source	extracted_by	sequence_name	sequencing_date	conc_sent_ng_per_ul	sequencing_type	sequencing_facility	primers	submitted_for_sequencing	sequencing_successful	duplicate_submitted	dup_sequencing_name	exclude_from_analysis	sampling_date	time_numeric	date	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR	soil_temp_5_cm_bare_avg	soil_temp_5_cm_sod_avg	Year
10	10	G5R5_NF_18APR2016	18	4	2016	12:23	full sun	25.4	bare soil, no plant growth	G5R5_NF	BCSE	Agricultural	5	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R5_NF_18APR2016	6	NA	0	NA	0	0	0	0	0	0	0	0	13.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
11	11	G6R1_MAIN_18APR2016	18	4	2016	11:15	full sun	23.4	bare soil, no plant growth	G6R1_MAIN	BCSE	Agricultural	1	miscanthus	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R1_MAIN_18APR2016	6	2017-10-17	6.2		27	61	1100	151	1.9	0.1	4.6	13.34	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G6R1_MAIN_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	15.3		5884.6	SH Lee	G6R1_MAIN_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
12	12	G6R2_MAIN_18APR2016	18	4	2016	11:49	full sun	24.6	bare soil, no plant growth	G6R2_MAIN	BCSE	Agricultural	2	miscanthus	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R2_MAIN_18APR2016	6	2017-10-17	6.2		23	43	772	82	2.1	0.1	3.8	15.18	12.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G6R2_MAIN_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	18.3		7038.5	SH Lee	G6R2_MAIN_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
13	13	G6R3_MAIN_18APR2016	18	4	2016	11:57	full sun	25.3	bare soil, no plant growth	G6R3_MAIN	BCSE	Agricultural	3	miscanthus	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R3_MAIN_18APR2016	6	2017-10-17	6.2		28	62	1002	133	2	0.1	3.2	11.31	14.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G6R3_MAIN_18APR2016_SD2		DNA	2	soil	0.26	Mobio Powersoil	100	18.5		7115.4	SH Lee	G6R3_MAIN_18APR2016_SD2		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
14	14	G6R4_MAIN_18APR2016	18	4	2016	11:25	full sun	23.6	bare soil, no plant growth	G6R4_MAIN	BCSE	Agricultural	4	miscanthus	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R4_MAIN_18APR2016	6	2017-10-17	6.5		38	135	982	152	2.5	0.1	4.3	14.5	14.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G6R4_MAIN_18APR2016_SD2		DNA	2	soil	0.26	Mobio Powersoil	100	17.7		6807.7	SH Lee	G5R4_MAIN_18APR2016_SD2		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	N	N	NA	NA	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
15	15	G6R5_MAIN_18APR2016	18	4	2016	12:12	full sun	25.5	bare soil, no plant growth	G6R5_MAIN	BCSE	Agricultural	5	miscanthus	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R5_MAIN_18APR2016	6	NA	0	NA	0	0	0	0	0	0	0	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
16	16	G6R1_NF_18APR2016	18	4	2016	12:15	full sun	25.3	bare soil, no plant growth	G6R1_NF	BCSE	Agricultural	1	miscanthus	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R1_NF_18APR2016	6	2017-10-17	6.1		17	61	916	122	2.3	0.1	3.8	14.97	11.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G6R1_NF_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	16.1		6192.3	SH Lee	G6R1_NF_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
17	17	G6R2_NF_18APR2016	18	4	2016	11:10	full sun	23.1	bare soil, no plant growth	G6R2_NF	BCSE	Agricultural	2	miscanthus	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R2_NF_18APR2016	6	2017-10-17	6.4		20	50	726	88	1.5	0.1	3.4	15.72	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G6R2_NF_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	19.5		7500	SH Lee	G6R2_NF_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	N	N	NA	NA	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
17	17	G6R2_NF_18APR2016	18	4	2016	11:10	full sun	23.1	bare soil, no plant growth	G6R2_NF	BCSE	Agricultural	2	miscanthus	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R2_NF_18APR2016	6	2017-10-17	6.4		20	50	726	88	1.5	0.1	3.4	15.72	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G6R2_NF_18APR2016_SD2	9/5/17	DNA	2	soil	0.25	Mobio Powersoil	100	21.51	1.94	8604	KL Grady	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
18	18	G6R3_NF_18APR2016	18	4	2016	11:45	full sun	24.4	bare soil, no plant growth	G6R3_NF	BCSE	Agricultural	3	miscanthus	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R3_NF_18APR2016	6	2017-10-17	6.3		18	92	1050	150	2.3	0.1	3.5	15.5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G6R3_NF_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	25.7		9884.6	SH Lee	G6R3_NF_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
19	19	G6R4_NF_18APR2016	18	4	2016	11:55	full sun	25	bare soil, no plant growth	G6R4_NF	BCSE	Agricultural	4	miscanthus	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R4_NF_18APR2016	6	2017-10-17	6.4		28	109	954	148	2.3	0.1	2.7	14.3	12.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G6R4_NF_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	23.3		8961.5	SH Lee	G6R4_NF_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
20	20	G6R5_NF_18APR2016	18	4	2016	11:20	full sun	23.3	bare soil, no plant growth	G6R5_NF	BCSE	Agricultural	5	miscanthus	nitrogen free	GMT - 5:01	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G6R5_NF_18APR2016	6	NA	0	NA	0	0	0	0	0	0	0	0	11.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
21	1	G5R1_MAIN_09MAY2016	9	5	2016	12:00	overcast	13.7	soil/air temp and time data are per-plot	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_09MAY2016	6	2017-10-13	6.5	73	26	79	856	123	2.3	2.1	6.3	13.05	13.7	G5R1_MAIN_09MAY2016	194	3.3345	43.668	13.1	56	0.153	5/6/16	t	f	f	f	f	f	f	f	f	G5R1_MAIN_09MAY2016_LD1		DNA	1	phyllosphere	5.23	Benzyl Chloride 	190	9.04		328.4	SH Lee	G5R1_MAIN_09MAY2016_LD1		0.904	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	Y	G5R1_MAIN_09MAY2016_LD2	Y	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
21	1	G5R1_MAIN_09MAY2016	9	5	2016	12:00	overcast	13.7	soil/air temp and time data are per-plot	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_09MAY2016	6	2017-10-13	6.5	73	26	79	856	123	2.3	2.1	6.3	13.05	13.7	G5R1_MAIN_09MAY2016	194	3.3345	43.668	13.1	56	0.153	5/6/16	t	f	f	f	f	f	f	f	f	G5R1_MAIN_09MAY2016_LD1		DNA	1	phyllosphere	5.23	Benzyl Chloride 	190	9.04		328.4	SH Lee	G5R1_MAIN_09MAY2016_LD1_MG		4	Illumina Hiseq Metagenome Sequencing	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
21	1	G5R1_MAIN_09MAY2016	9	5	2016	12:00	overcast	13.7	soil/air temp and time data are per-plot	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_09MAY2016	6	2017-10-13	6.5	73	26	79	856	123	2.3	2.1	6.3	13.05	13.7	G5R1_MAIN_09MAY2016	194	3.3345	43.668	13.1	56	0.153	5/6/16	t	f	f	f	f	f	f	f	f	G5R1_MAIN_09MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	26.1		10038.5	SH Lee	G5R1_MAIN_09MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
21	1	G5R1_MAIN_09MAY2016	9	5	2016	12:00	overcast	13.7	soil/air temp and time data are per-plot	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_09MAY2016	6	2017-10-13	6.5	73	26	79	856	123	2.3	2.1	6.3	13.05	13.7	G5R1_MAIN_09MAY2016	194	3.3345	43.668	13.1	56	0.153	5/6/16	t	f	f	f	f	f	f	f	f	G5R1_MAIN_09MAY2016_LD2		DNA	2	phyllosphere	5.23	Benzyl Chloride	190	1.2		0	KL Grady	G5R1_MAIN_09MAY2016_LD2		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	Y	NA	N	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
22	2	G5R2_MAIN_09MAY2016	9	5	2016	14:43	overcast	14.6	soil/air temp and time data are per-plot	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_09MAY2016	6	2017-10-13	6.1	74	11	51	805	112	2.1	1.4	5	11.4	14.5	G5R2_MAIN_09MAY2016	251	2.0002	42.8709	21.43	56	0.044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_09MAY2016_LD1		DNA	1	phyllosphere	5	Benzyl Chloride 	190	11.57		439.7	SH Lee	G5R2_MAIN_09MAY2016_LD1		1.157	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	Y	G5R2_MAIN_09MAY2016_LD2	Y	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
22	2	G5R2_MAIN_09MAY2016	9	5	2016	14:43	overcast	14.6	soil/air temp and time data are per-plot	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_09MAY2016	6	2017-10-13	6.1	74	11	51	805	112	2.1	1.4	5	11.4	14.5	G5R2_MAIN_09MAY2016	251	2.0002	42.8709	21.43	56	0.044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_09MAY2016_LD1		DNA	1	phyllosphere	5	Benzyl Chloride 	190	11.57		439.7	SH Lee	G5R2_MAIN_09MAY2016_LD1_MG		4	Illumina Hiseq Metagenome Sequencing	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
22	2	G5R2_MAIN_09MAY2016	9	5	2016	14:43	overcast	14.6	soil/air temp and time data are per-plot	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_09MAY2016	6	2017-10-13	6.1	74	11	51	805	112	2.1	1.4	5	11.4	14.5	G5R2_MAIN_09MAY2016	251	2.0002	42.8709	21.43	56	0.044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_09MAY2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	20.7		7961.5	SH Lee	G5R2_MAIN_09MAY2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-05-09	1462766400	09.05.16	0	10.7	15.6	3.6	983	56.54	0.69	2.92	138.1	139.89	193.66	12.4	10.8	2016
